"key","message","comment","context"
"Translation","Traducción","",""
"Tree","Árbol","",""
"True","Verdadero","",""
"Two-factor authentication","Autenticación de dos factores","",""
"Two-factor authentication (2FA) adds an extra layer of security.","La autenticación de dos factores (2FA) añade una capa adicional de seguridad.","",""
"Type","Tipo","",""
"UUID","UUID","",""
"Unable to create API key","No se pudo crear la clave de API","",""
"Unable to revoke API key","No se pudo revocar la clave de API","",""
"Unable to revoke this session. Please try again or contact an administrator.","No se pudo revocar esta sesión. Inténtelo nuevamente o póngase en contacto con un administrador.","",""
"Unable to rotate API key","No se pudo rotar la clave de API","",""
"Unable to verify identity","No se pudo verificar la identidad","",""
"Unexpected database error occurred on the server.","Ocurrió un error inesperado de base de datos en el servidor.","",""
"Unique ID","ID único","",""
"Unique constraint violation","Infracción de restricción de unicidad","",""
"Unique message identifier","Identificador único del mensaje","",""
"Unknown","Desconocido","",""
"Unknown IP","IP desconocida","",""
"Unknown device","Dispositivo desconocido","",""
"Unread","No leído","",""
"Unsubscribe","Cancelar suscripción","",""
"Update","Actualizar","",""
"Updated by","Actualizado por","",""
"Updated on","Actualizado el","",""
"Urgent","Urgente","",""
"Used as home action","Utilizada como acción de inicio","",""
"User","Usuario","",""
"User Management","Gestión de usuarios","",""
"User preferences","Preferencias del usuario","",""
"User token","Token de usuario","",""
"Users","Usuarios","",""
"Valid cron. Next execution dates are:","Cron válido. Las próximas fechas de ejecución son:","",""
"Validate","Validar","",""
"Validated","Validado","",""
"Validation error","Error de validación","",""
"Value","Valor","",""
"Value Expression","Expresión de valor","",""
"Value too long","Valor demasiado largo","",""
"Verification","Verificación","",""
"Verify","Verificar","",""
"Version","Versión","",""
"View","Vista","",""
"View Attribute","Atributo de vista","",""
"View Attributes","Atributos de vista","",""
"View Help","Ayuda de vista","",""
"View Management","Gestión de vistas","",""
"View customization","Personalización de vista","",""
"View customization permission","Permiso de personalización de vista","",""
"Views","Vistas","",""
"Visibility","Visibilidad","",""
"Visible","Visible","",""
"Visible in grid","Visible en la cuadrícula","",""
"Warning","Advertencia","",""
"We've sent a verification code to your email address. Please enter the code below to complete the setup.","Hemos enviado un código de verificación a su dirección de correo electrónico. Introduzca el código a continuación para completar la configuración.","",""
"When making the theme available to users, make sure that the name is unique.","Al habilitar el tema para los usuarios, asegúrese de que el nombre sea único.","",""
"Whether to grant create access.","Indica si se concede acceso para crear.","",""
"Whether to grant export access.","Indica si se concede acceso para exportar.","",""
"Whether to grant import access.","Indica si se concede acceso para importar.","",""
"Whether to grant read access.","Indica si se concede acceso de lectura.","",""
"Whether to grant remove access.","Indica si se concede acceso para eliminar.","",""
"Whether to grant write access.","Indica si se concede acceso de escritura.","",""
"Whether to show help messages.","Indica si se muestran los mensajes de ayuda.","",""
"Whether to use tabbed ui.","Indica si se utiliza una interfaz con pestañas.","",""
"White","Blanco","",""
"Widget","Componente","",""
"Widget Attributes","Atributos del componente","",""
"Widget attrs","Atributos del componente","",""
"Write","Escribir","",""
"Wrong current password","Contraseña actual incorrecta","",""
"Wrong password","Contraseña incorrecta","",""
"Wrong username or password","Usuario o contraseña incorrectos","",""
"Xml","XML","",""
"Yellow","Amarillo","",""
"You are about to reconfigure this authentication method. The new configuration will be applied once the setup is completed. If you do not finish the verification process, your current configuration will remain active.","Está a punto de reconfigurar este método de autenticación. La nueva configuración se aplicará cuando termine el proceso. Si no completa la verificación, su configuración actual permanecerá activa.","",""
"You are not allowed to customize views.","No tiene permiso para personalizar vistas.","",""
"You are not allowed to execute this action.","No tiene permiso para ejecutar esta acción.","",""
"You are not allowed to remove this filter.","No tiene permiso para eliminar este filtro.","",""
"You are not allowed to share custom views.","No tiene permiso para compartir vistas personalizadas.","",""
"You are not allowed to update this filter.","No tiene permiso para actualizar este filtro.","",""
"You are not authorized to change this user password.","No tiene autorización para cambiar la contraseña de este usuario.","",""
"You are not authorized to create API key for this user","No tiene autorización para crear una clave de API para este usuario","",""
"You are not authorized to create this resource.","No tiene autorización para crear este recurso.","",""
"You are not authorized to export the data.","No tiene autorización para exportar los datos.","",""
"You are not authorized to import the data.","No tiene autorización para importar los datos.","",""
"You are not authorized to perform this action.","No tiene autorización para realizar esta acción.","",""
"You are not authorized to read this resource.","No tiene autorización para leer este recurso.","",""
"You are not authorized to remove this resource.","No tiene autorización para eliminar este recurso.","",""
"You are not authorized to revoke this API key","No tiene autorización para revocar esta clave de API","",""
"You are not authorized to revoke this session.","No tiene autorización para revocar esta sesión.","",""
"You are not authorized to rotate this API key","No tiene autorización para rotar esta clave de API","",""
"You are not authorized to update this resource.","No tiene autorización para actualizar este recurso.","",""
"You can't create document here.","No puede crear un documento aquí.","",""
"You can't move document here.","No puede mover un documento aquí.","",""
"You have changed your email address. Please reconfigure it for multi-factor authentication.","Ha cambiado su dirección de correo electrónico. Vuelva a configurarla para la autenticación multifactor.","",""
"You must have an email address in your user profile to use email confirmation method.","Debe tener una dirección de correo electrónico en su perfil de usuario para utilizar el método de confirmación por correo electrónico.","",""
"Your new password must","Su nueva contraseña debe","",""
"Your password reset token is invalid or expired.","El token para restablecer su contraseña no es válido o ha caducado.","",""
"Your secret code and QR code have been successfully generated.<br> To complete the setup, scan this QR code with your authentication app to start receiving your security codes.<br>Can't scan the QR code? Use the security key below to manually set up your authenticator app.","Su código secreto y el código QR se han generado correctamente.<br> Para completar la configuración, escanee este código QR con su aplicación de autenticación y empiece a recibir sus códigos de seguridad.<br>¿No puede escanear el código QR? Utilice la clave de seguridad que aparece a continuación para configurar manualmente su aplicación de autenticación.","",""
"action-attrs","action-attrs","",""
"action-condition","action-condition","",""
"action-export","action-export","",""
"action-group","action-group","",""
"action-import","action-import","",""
"action-method","action-method","",""
"action-record","action-record","",""
"action-report","action-report","",""
"action-script","action-script","",""
"action-validate","action-validate","",""
"action-view","action-view","",""
"action-ws","action-ws","",""
"added comment","comentario agregado","",""
"aop.meta.order","aop.meta.order","",""
"be different from the current password","ser diferente de la contraseña actual","",""
"be sufficiently strong","ser suficientemente segura","",""
"confirm new password","confirmar la nueva contraseña","",""
"contain at least {0} characters","contener al menos {0} caracteres","",""
"contain at least {0} digit(s)","contener al menos {0} dígito(s)","",""
"contain at least {0} lowercase character(s)","contener al menos {0} carácter(es) en minúscula","",""
"contain at least {0} special character(s)","contener al menos {0} carácter(es) especial(es)","",""
"contain at least {0} uppercase character(s)","contener al menos {0} carácter(es) en mayúscula","",""
"day(s) left","día(s) restante(s)","",""
"form::Select","form::Select","",""
"login name","nombre de inicio de sesión","",""
"must be at least minimum length {0}","debe tener una longitud mínima de {0}","",""
"must be different from the current password","debe ser diferente de la contraseña actual","",""
"must contain at least {0} digit(s)","debe contener al menos {0} dígito(s)","",""
"must contain at least {0} lowercase character(s)","debe contener al menos {0} carácter(es) en minúscula","",""
"must contain at least {0} special character(s)","debe contener al menos {0} carácter(es) especial(es)","",""
"must contain at least {0} uppercase character(s)","debe contener al menos {0} carácter(es) en mayúscula","",""
"must match the pattern","debe coincidir con el patrón","",""
"must not contain the user code","no debe contener el código del usuario","",""
"new password","nueva contraseña","",""
"not contain your login code","no contener su código de inicio de sesión","",""
"strength score is too low (minimum required: {0}/4)","la puntuación de seguridad es demasiado baja (mínimo requerido: {0}/4)","",""
"updated document","documento actualizado","",""
"user group","grupo de usuarios","",""
"user name","nombre de usuario","",""
"validate the pattern","validar el patrón","",""
"{0} customized view is deleted.","Se eliminó {0} vista personalizada.","",""
"{0} customized views are deleted.","Se eliminaron {0} vistas personalizadas.","","",
"Close Others","Cerrar Otros","","",
"Close All","Cerrar Todos","","",
"View...","Vista...","","",
"Model...","Modelo...","","",
"Action...","Acción...","","",
"Sign in","Iniciar sesión","Autenticación",""
"Sign out","Cerrar sesión","Autenticación",""
"Username","Usuario","Autenticación",""
"Forgot password?","¿Olvidó su contraseña?","Autenticación",""
"My preferences","Mis preferencias","Usuario",""
"Save","Guardar","Acciones generales",""
"Save & Close","Guardar y cerrar","Acciones generales",""
"Cancel","Cancelar","Acciones generales",""
"Close","Cerrar","Acciones generales",""
"Edit","Editar","Acciones generales",""
"Duplicate","Duplicar","Acciones generales",""
"Confirm","Confirmar","Acciones generales",""
"Refresh","Actualizar","Acciones generales",""
"Advanced Search","Búsqueda avanzada","Búsqueda","",
"Search in filters...","Buscar en filtros","Búsqueda","",
"Archived only","Solo archivados","Búsqueda","",
"Include archived","Incluye archivada","Búsqueda","",
"and","y","Búsqueda","",
"or","o","Búsqueda","",
"Add filter","Agregar filtro","Búsqueda","",
"Export full","Exportación completa","Búsqueda","",
"Save filter as","Guardar filtro como","Búsqueda","",
"aop.meta.order","Orden","Búsqueda","",
"Downloading","Descargando","Búsqueda","",
"Share","Compartir","Búsqueda","",
"Clear","Limpiar","Búsqueda",""
"Filter","Filtro","Búsqueda",""
"Apply","Aplicar","Acciones generales",""
"Select all","Seleccionar todo","Acciones generales",""
"Export as CSV","Exportar como CSV","Importación y exportación",""
"Upload","Subir archivo","Archivos",""
"Attachment","Adjunto","Archivos",""
"Attachments","Adjuntos","Archivos",""
"View management","Gestión de vistas","Administración",""
"Translations","Traducciones","Administración",""
"All translations","Todas las traducciones","Administración",""
"Error","Error","Mensajes",""
"Operation completed successfully.","Operación completada correctamente.","Mensajes",""
"Are you sure?","¿Está seguro?","Confirmación",""
"Are you sure you want to delete this record?","¿Está seguro de que desea eliminar este registro?","Confirmación",""
"No records found.","No se encontraron registros.","Listados",""
"No data available.","No hay datos disponibles.","Listados",""
"Loading...","Cargando...","Interfaz",""
"Yes","Sí","Valores generales",""
"No","No","Valores generales",""
"Today","Hoy","Fechas",""
"Yesterday","Ayer","Fechas",""
"Tomorrow","Mañana","Fechas","",
"Search...","Buscar...","Fechas","",
"Customize...","Personalizar...","","",
"Save column widths","Guardar anchos de columna","","",
"Add to favorites...","Agregar a favoritos...","","",
"Organize favorites","Organizar favoritos...","","",
"Messages","Mensajes","","",
"no messages","Sin mensajes","","",
"no tasks","Sin tareas","","",
"Search menu...","Buscar menu...","","",
"Shortcuts","Atajos","","",
"About","Acerca de","","",
"Log out","Cerrar Sesión","","",
